,process_num,iso_level,anomaly,txn_proceeded,txn_succeeded,txn_correct,txn_retries,retry_time,avg_latency,50_percentile_latency,95_percentile_latency,99_percentile_latency
602,4,S,RS,2,2,2,0,0,0.00906135349999998,0.00906135349999998,0.011436150649999978,0.011647243729999979
603,4,S,RS,2,2,2,0,0,0.006710865499999996,0.006710865499999996,0.00912034505,0.009334521010000001
604,4,S,RS,2,1,2,1,1,0.0569994415,0.0569994415,0.10566552534999998,0.10999139946999999
394,5,RR,PR,2,1,2,1,1,0.07500008450000001,0.07500008450000001,0.11387625185,0.11733191117
19,5,RC,LU,2,2,2,0,0,0.007447886000000001,0.007447886000000001,0.011654611100000007,0.012028542220000008
20,5,RC,LU,2,2,1,0,0,0.011559971500000016,0.011559971500000016,0.016169061850000017,0.016578758770000018
21,5,RC,LU,2,2,1,0,0,0.002990398499999991,0.002990398499999991,0.003480500249999979,0.0035240648499999783
22,5,RC,LU,2,2,0,0,0,0.005172462999999988,0.005172462999999988,0.00565924059999999,0.00570250971999999
609,5,S,RS,2,2,2,0,0,0.021002445000000036,0.021002445000000036,0.03137282730000003,0.03229463906000003
608,5,S,RS,2,1,2,1,1,0.07181309050000001,0.07181309050000001,0.12571890415,0.13051053203000001
607,5,S,RS,2,1,2,1,1,0.06248342849999999,0.06248342849999999,0.10614938594999995,0.11003080438999996
606,5,S,RS,2,2,2,0,0,0.02398847500000001,0.02398847500000001,0.02771946009999999,0.028051103219999984
605,5,S,RS,2,1,2,1,1,0.061252904999999996,0.061252904999999996,0.10717255469999998,0.11125430133999999
766,5,S,WS,2,2,2,0,0,0.009546198499999992,0.009546198499999992,0.009789075650000012,0.009810664730000014
392,5,RR,PR,2,2,2,0,0,0.01885432150000002,0.01885432150000002,0.027631189450000006,0.028411355490000005
396,5,RR,PR,2,1,2,1,1,0.07109714050000002,0.07109714050000002,0.10973855545,0.11317334789
23,5,RC,LU,2,2,1,0,0,0.004118207999999998,0.004118207999999998,0.004331844599999997,0.004350834519999997
393,5,RR,PR,2,1,2,1,1,0.07187516900000002,0.07187516900000002,0.10875707900000002,0.11203547100000003
395,5,RR,PR,2,2,2,0,0,0.019811307500000014,0.019811307500000014,0.029260344050000015,0.030100258410000018
73,5,RR,LU,2,1,2,1,1,0.05571247350000004,0.05571247350000004,0.10256705175000003,0.10673190315000003
556,5,RR,RS,2,2,2,0,0,0.004374749000000039,0.004374749000000039,0.006565641500000027,0.006760387500000026
234,5,RR,NR,2,2,2,0,0,0.005962633000000023,0.005962633000000023,0.00794080150000002,0.008116638700000019
660,5,RC,WS,2,2,2,0,0,0.0089263215,0.0089263215,0.013946439150000005,0.014392671830000007
659,5,RC,WS,2,2,2,0,0,0.003544520499999995,0.003544520499999995,0.003773391849999981,0.00379373596999998
658,5,RC,WS,2,2,2,0,0,0.0164597175,0.0164597175,0.023046313949999994,0.023631789189999995
657,5,RC,WS,2,2,2,0,0,0.00382729599999998,0.00382729599999998,0.005119082199999997,0.005233907639999999
284,5,S,NR,2,2,2,0,0,0.009825146000000007,0.009825146000000007,0.010678245200000014,0.010754076240000014
285,5,S,NR,2,2,2,0,0,0.006277988999999984,0.006277988999999984,0.00898267709999999,0.009223093819999991
286,5,S,NR,2,2,2,0,0,0.010195706999999998,0.010195706999999998,0.011119526400000001,0.011201643680000001
287,5,S,NR,2,2,2,0,0,0.004906202999999998,0.004906202999999998,0.0065275322999999935,0.006671650459999993
288,5,S,NR,2,2,2,0,0,0.003221075000000004,0.003221075000000004,0.0034361957000000206,0.003455317540000022
770,5,S,WS,2,2,2,0,0,0.0041440689999999725,0.0041440689999999725,0.005707421199999984,0.005846385839999985
769,5,S,WS,2,2,2,0,0,0.011895617999999997,0.011895617999999997,0.01511430509999999,0.01540041061999999
233,5,RR,NR,2,1,2,1,1,0.054767253000000016,0.054767253000000016,0.10212121740000003,0.10633045868000005
768,5,S,WS,2,2,2,0,0,0.01165450100000004,0.01165450100000004,0.01773382280000004,0.018274206960000042
75,5,RR,LU,2,1,2,1,1,0.05549234649999997,0.05549234649999997,0.10217301234999994,0.10632240486999994
337,5,RC,PR,2,2,1,0,0,0.016398953999999993,0.016398953999999993,0.02803852440000001,0.029073152880000012
338,5,RC,PR,2,2,2,0,0,0.01154145299999998,0.01154145299999998,0.019539618900000003,0.020250566980000006
339,5,RC,PR,2,2,1,0,0,0.018279264500000003,0.018279264500000003,0.031055484949999997,0.032191148989999994
340,5,RC,PR,2,2,1,0,0,0.017398587500000007,0.017398587500000007,0.026454859550000008,0.02725986151000001
341,5,RC,PR,2,2,2,0,0,0.012757513499999998,0.012757513499999998,0.02014105994999999,0.02079737518999999
74,5,RR,LU,2,2,2,0,0,0.0035897109999999954,0.0035897109999999954,0.004019113599999996,0.004057282719999996
237,5,RR,NR,2,1,2,1,1,0.05439906749999998,0.05439906749999998,0.10172118584999996,0.10592759636999997
236,5,RR,NR,2,1,2,1,1,0.05502757249999998,0.05502757249999998,0.10102953034999998,0.10511859326999998
661,5,RC,WS,2,2,2,0,0,0.010346308500000012,0.010346308500000012,0.015299194350000033,0.015739450870000036
235,5,RR,NR,2,2,2,0,0,0.006088816000000025,0.006088816000000025,0.007364588500000027,0.007477990500000027
767,5,S,WS,2,2,2,0,0,0.004142986000000015,0.004142986000000015,0.004918257699999995,0.0049871707399999935
445,5,S,PR,2,2,2,0,0,0.017212735500000007,0.017212735500000007,0.028380333749999997,0.029373009149999997
77,5,RR,LU,2,1,2,1,1,0.05518706200000002,0.05518706200000002,0.10155456610000002,0.10567612202000003
713,5,RR,WS,2,2,2,0,0,0.00419685000000003,0.00419685000000003,0.005820383400000039,0.00596469748000004
125,5,S,LU,2,1,2,1,1,0.05715402650000001,0.05715402650000001,0.10312564625000004,0.10721201245000003
126,5,S,LU,2,2,2,0,0,0.0030106675000000083,0.0030106675000000083,0.0030437618500000372,0.00304670357000004
716,5,RR,WS,2,2,2,0,0,0.003945135000000016,0.003945135000000016,0.004663391700000005,0.004727236740000004
715,5,RR,WS,2,2,2,0,0,0.0038820984999999864,0.0038820984999999864,0.004622017750000001,0.004687788350000003
499,5,RC,RS,2,2,2,0,0,0.003143207000000009,0.003143207000000009,0.0038322929000000143,0.003893544980000015
714,5,RR,WS,2,2,2,0,0,0.0028136569999999694,0.0028136569999999694,0.0029471926999999508,0.0029590625399999494
446,5,S,PR,2,1,2,1,1,0.0699025635,0.0699025635,0.11031934815,0.11391195123
76,5,RR,LU,2,1,2,1,1,0.05531993399999999,0.05531993399999999,0.10248101399999997,0.10667310999999997
179,5,RC,NR,2,2,2,0,0,0.006194243500000002,0.006194243500000002,0.009526466949999975,0.009822664589999974
180,5,RC,NR,2,2,2,0,0,0.0031148104999999815,0.0031148104999999815,0.003797721949999952,0.0038584251899999493
181,5,RC,NR,2,2,2,0,0,0.008152806999999984,0.008152806999999984,0.012727979500000014,0.013134661500000016
